datum,pflicht,marker,reader_activity,routing,overnight,layover,old_klass,old_eur,new_role,new_location,new_in_tour,new_tour_dest,new_is_standby_hotel,new_is_layover_free,golden_klass,golden_land,golden_eur,shadow_recommendation,risk
2025-05-03,,111174 PU,same_day,HAM→FRA→TUN,False,,Z76,27.0,tour_mid,in_flight,True,KRK,False,False,Z76,Tunesien,27,keep (correct),none
2025-05-04,,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-05,,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-06,,102896 P1,tour,FRA→ORD,True,ORD,Z76,28.0,tour_start,foreign_layover,True,ORD,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-07,,102896 P1,tour,ORD,True,ORD,Z76,28.0,tour_mid,foreign_layover,True,ORD,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,65,keep (correct),none
2025-05-08,,102896 P1,same_day,ORD→FRA,False,,Z76,28.0,tour_end,in_flight,True,ORD,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-09,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-10,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-11,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-12,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-13,,112232 PU,same_day,FRA→KEF,False,,Z76,41.0,non_tour,unknown,False,,False,False,Z76,Island,41,keep (correct),none
2025-05-14,,112337 PU,tour,FRA→TLV,True,TLV,Z76,40.0,tour_start,foreign_layover,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA),40,keep (correct),none
2025-05-15,✓,X TLV,frei,,True,TLV,Frei,0,tour_mid,foreign_layover,True,TLV,False,True,Z76,Vereinigte Staaten von Amerika (USA),59,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-05-16,,112337 PU,same_day,TLV→FRA,False,,Z76,40.0,tour_end,in_flight,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA),59,keep (correct),none
2025-05-17,✓,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Vereinigte Staaten von Amerika (USA),40,Phase 3 classify (alt=Frei → golden=Z76),med
2025-05-18,,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-19,✓,LMN_AS / LMN_CR1,office,FRA,False,,Z72,14.0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-20,,103703 P1,tour,FRA→LAD,True,LAD,Z73,14.0,tour_start,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-21,,103703 P1,tour,LAD,True,LAD,Z76,40.0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-22,,103703 P1,tour,LAD→FRA,True,LAD,Z76,27.0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-05-23,,103703 P1,same_day,LAD,False,,Issue,0,tour_mid,foreign_layover,True,LAD,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-24,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-25,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-26,,113301 PU,tour,FRA→TLV,True,TLV,Z76,28.0,tour_start,foreign_layover,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-27,✓,X TLV,frei,,True,TLV,Frei,0,tour_mid,foreign_layover,True,TLV,False,True,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,65,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-05-28,,113301 PU,same_day,TLV→FRA,False,,Z76,28.0,tour_end,in_flight,True,TLV,False,False,Z76,Vereinigte Staaten von Amerika (USA) - Chicago,44,keep (correct),none
2025-05-29,,OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-30,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-05-31,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-01,,126533 PU,tour,FRA→CPH→GOT,True,GOT,Z76,44.0,tour_start,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-06-02,,126533 PU,tour,GOT→FRA→SOF,True,SOF,Z76,15.0,tour_mid,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-06-03,,126533 PU,same_day,SOF→FRA→LHR,False,,Issue,0,tour_mid,foreign_layover,True,CPH,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-04,,EM,training,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NO_VMA,-,0,Phase 3 classify (alt=Office → golden=NO_VMA),med
2025-06-05,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-06,,FRS,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-07,,120237 P1/ZH,tour,FRA→SIN,True,SIN,Z73,14.0,tour_start,foreign_layover,True,SIN,False,False,Z73,Deutschland,14,keep (correct),none
2025-06-08,,X,tour,FRA→SIN,True,SIN,Z76,48.0,tour_mid,foreign_layover,True,SIN,False,True,Z76,Singapur,71,keep (correct),none
2025-06-09,✓,X,frei,SIN,True,SIN,Frei,0,tour_mid,foreign_layover,True,SIN,False,True,Z76,Singapur,71,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-06-10,,781,tour,SIN→FRA,True,FRA,Z76,48.0,tour_mid,foreign_layover,True,SIN,False,False,Z76,Singapur,71,keep (correct),none
2025-06-11,,X,same_day,SIN→FRA,False,,Z76,48.0,tour_end,in_flight,True,SIN,False,False,Z76,Singapur,48,keep (correct),none
2025-06-12,,X,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-13,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-14,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-15,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-16,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-17,✓,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Kroatien,31,Phase 3 classify (alt=Frei → golden=Z76),med
2025-06-18,✓,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Kroatien,31,Phase 3 classify (alt=Frei → golden=Z76),med
2025-06-19,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-20,,OFF,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-21,,128322 PU,tour,FRA→CPH→ATH,True,ATH,Z76,28.0,tour_start,foreign_layover,True,CPH,False,False,Z76,Schweden,44,keep (correct),none
2025-06-22,,128322 PU,tour,ATH→FRA→HAJ→WAW,True,WAW,Z76,28.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Schweden,66,keep (correct),none
2025-06-23,✓,128322 PU,tour,WAW→FRA→SZG→LIN,True,LIN,Z76,42.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Spanien - Madrid,42,keep (correct),none
2025-06-24,✓,128322 PU,tour,LIN→FRA→HAM→BER,True,BER,Z76,28.0,tour_mid,foreign_layover,True,CPH,False,False,Z76,Spanien - Madrid,42,keep (correct),none
2025-06-25,,128322 PU,same_day,BER→FRA→MUC,False,,Z76,35.0,tour_mid,in_flight,True,CPH,False,False,Z76,Vereinigtes Königreich,35,keep (correct),none
2025-06-26,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-27,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-28,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-29,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-06-30,,129023 PU,same_day,FRA→BER→NAP,False,,Z76,28.0,non_tour,unknown,False,,False,False,Z76,Italien,28,keep (correct),none
2025-07-01,,129023 PU / Tag 1,tour,FRA→STR→NAP→OTP,True,OTP,Z76,21.0,tour_start,foreign_layover,True,NAP,False,False,Z76,Rumänien - Bukarest,32,keep (correct),none
2025-07-02,,129023 PU / Tag 2+,same_day,OTP→FRA→LHR,False,,Z76,44.0,tour_mid,foreign_layover,True,NAP,False,False,Z76,Vereinigtes Königreich - London,44,keep (correct),none
2025-07-03,✓,129023 PU / Tag 3,same_day,OTP→FRA→LHR,False,,Z72,14.0,same_day,in_flight,True,NAP,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-07-04,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-05,,FRS,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-06,,131859 P1 / Tag 49,tour,FRA→SEA,True,SEA,Z76,40.0,tour_start,foreign_layover,True,SEA,False,False,Z76,Vereinigte Staaten von Amerika (USA),40,keep (correct),none
2025-07-07,,X SEA,frei,SEA,True,SEA,Frei,0,tour_mid,foreign_layover,True,SEA,False,True,Z76,Vereinigte Staaten von Amerika (USA),59,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-07-08,,491 LH491-1,tour,SEA→FRA,True,SEA,Z73,14.0,tour_mid,foreign_layover,True,SEA,False,False,Z76,Vereinigte Staaten von Amerika (USA),59,Phase 3 classify (alt=Z73 → golden=Z76),med
2025-07-09,,491 LH491-1 (Forts,same_day,SEA→FRA,False,,Z76,40.0,tour_end,in_flight,True,SEA,False,False,Z76,Vereinigte Staaten von Amerika (USA),40,keep (correct),none
2025-07-10,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-11,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-12,,==,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-13,,==,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-14,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-15,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-16,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-17,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-18,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-19,,frei,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-20,,143620 PU / Tag 1,tour,FRA→MAN→MAD,True,MAD,Z76,50.0,tour_start,foreign_layover,True,MAN,False,False,Z76,Dänemark,50,keep (correct),none
2025-07-21,,143620 PU / Tag 2,tour,MAD→FRA,True,MAD,Z76,23.0,tour_mid,foreign_layover,True,MAN,False,False,Z76,Spanien - Barcelona,34,keep (correct),none
2025-07-22,,143620 PU / Tag 3,same_day,MAD→FRA→BCN,False,,Z76,23.0,tour_mid,foreign_layover,True,MAN,False,False,Z76,Spanien - Barcelona,23,keep (correct),none
2025-07-23,✓,==,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Schweden,44,Phase 3 classify (alt=Frei → golden=Z76),med
2025-07-24,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-25,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-26,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-27,,== OFF,frei,,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-07-28,,144349 PU / Tag 1,tour,FRA→LHR→RIX,True,RIX,Z76,28.0,tour_start,foreign_layover,True,LHR,False,False,Z76,Vereinigtes Königreich - London,44,keep (correct),none
2025-07-29,,X RIX,frei,RIX,True,RIX,Frei,0,tour_mid,foreign_layover,True,LHR,False,True,Z76,Lettland,35,Tour-First fix → Z76,low (Sandwich + Golden agreement)
2025-07-30,,144349 PU / Tag 3,tour,RIX→FRA→MUC→KRK,True,KRK,Z76,23.0,tour_mid,foreign_layover,True,LHR,False,False,Z76,Polen - Krakau,34,keep (correct),none
2025-07-31,,144349 PU / Tag 4,same_day,KRK→FRA→HAM,False,,Z76,23.0,tour_mid,foreign_layover,True,LHR,False,False,Z76,Polen - Krakau,34,keep (correct),none
2025-08-01,,X,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z73,Deutschland,14,Phase 3 classify (alt=Frei → golden=Z73),med
2025-08-02,,ORTSTAG OF,office,FRA,False,,Office,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-03,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-04,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-05,,158212 PU,same_day,FRA→KEF,False,,Z76,41.0,non_tour,unknown,False,,False,False,Z76,Island,41,keep (correct),none
2025-08-06,,TK,training,FRA,False,,Z72,14.0,non_tour,unknown,False,,False,False,Z72,Deutschland,14,keep (correct),none
2025-08-07,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-08,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-09,,SB_F,standby,FRA,False,,Standby,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-10,,SB_M,standby,FRA,False,,Standby,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-11,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-12,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-13,,SB_S,standby,FRA,False,,Standby,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-14,,SB_S,standby,FRA,False,,Standby,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-15,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-16,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-17,,SB_F,standby,FRA,False,,Standby,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-18,,159313 PU,same_day,FRA→CAI,False,,Z76,33.0,same_day,in_flight,True,CAI,False,False,Z76,Ägypten,33,keep (correct),none
2025-08-19,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-20,,2713 PU,tour,FRA→TLV→LCA,True,LCA,Z76,44.0,tour_start,foreign_layover,True,TLV,False,False,Z76,Israel,44,keep (correct),none
2025-08-21,,LH691-2,same_day,LCA→FRA,False,,Z76,28.0,tour_end,in_flight,True,TLV,False,False,Z76,Zypern,42,keep (correct),none
2025-08-22,,X,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z76,Zypern,28,Phase 3 classify (alt=Frei → golden=Z76),med
2025-08-23,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-24,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-25,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-26,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-08-27,,39 PU,tour,FRA→DUB→ARN,True,ARN,Z76,28.0,tour_start,foreign_layover,True,DUB,False,False,Z76,Schweden,44,keep (correct),none
2025-08-28,,39 PU (Day 2),same_day,ARN→FRA→OSL,False,,Z76,50.0,tour_mid,foreign_layover,True,DUB,False,False,Z76,Norwegen,50,keep (correct),none
